"subj","cell","alpha","nu"
26,"incong/post-err",1.76043557237174,0.6344100269908
27,"incong/post-err",1.60718109023708,-0.1033196095115
28,"incong/post-err",1.71902400678012,0.62437954292746
29,"incong/post-err",1.58185514041289,-0.3125870153471
30,"incong/post-err",1.84884376441485,0.68878070065885
31,"incong/post-err",1.6447620369644,1.46890442662388
32,"incong/post-err",1.72315075864033,0.669631602031997
33,"incong/post-err",1.44639504451513,1.06037486631988
34,"incong/post-err",1.64613784050782,0.59379899499326
35,"incong/post-err",1.6884779505282,0.0632580977478391
36,"incong/post-err",1.69341707786756,0.697762007953885
37,"incong/post-err",1.81819280380115,0.11257634712541
38,"incong/post-err",1.79255381178563,-0.0451501750269999
39,"incong/post-err",1.59891821234022,0.037300432851
40,"incong/post-err",1.6180216564952,-0.0559492449041298
41,"incong/post-err",1.69779563043085,0.39708992552761
42,"incong/post-err",1.57180161039333,0.244147951073679
43,"incong/post-err",1.69206492396909,0.2750670317151
44,"incong/post-err",1.7345620865766,1.10663879511885
45,"incong/post-err",1.74355190046003,0.561078134317007
46,"incong/post-err",1.58190696569147,0.574856518907765
47,"incong/post-err",1.63896919365586,0.20000117314377
48,"incong/post-err",1.5201236189047,-0.549033962797735
49,"incong/post-err",1.43846904832777,-0.475129161994942
50,"incong/post-err",1.71054401131636,0.33414449072555
51,"incong/post-err",1.73554794809886,-0.0666675484351998
52,"incong/post-err",1.59970706978193,-0.27901784837705
53,"incong/post-err",1.76325866840842,-0.181543784932554
54,"incong/post-err",1.82332916138227,0.641533085450873
55,"incong/post-err",2.00065120654059,0.64969432688
56,"incong/post-err",1.73319112509306,0.76542741830701
57,"incong/post-err",1.60267140674978,0.7168058134374
58,"incong/post-err",1.50100475329429,-0.69958989342975
59,"incong/post-err",1.67697952355576,0.942424217227335
60,"incong/post-err",1.78072991581162,-0.1229399065155
61,"incong/post-err",2.030264646708,0.3556408823835
62,"incong/post-err",1.78813714362862,-0.0229371952537999
63,"incong/post-err",1.70582652007427,-0.59456042549115
64,"incong/post-err",1.6010253946685,-0.093608777183995
65,"incong/post-err",1.53297605489307,0.0821776944645
66,"incong/post-err",1.62122439122014,0.677660679364424
67,"incong/post-err",1.7781768082233,0.730415304837572
68,"incong/post-err",1.70579228948607,0.275011058846835
69,"incong/post-err",1.70046806106322,0.20902837085874
70,"incong/post-err",1.64129031054388,1.33372851271853
71,"incong/post-err",1.56330799973432,0.5520836421797
72,"incong/post-err",1.74769730223108,0.319060393271261
73,"incong/post-err",1.62049244320242,0.28787935632945
74,"incong/post-err",1.73536080643489,0.505983496086668
75,"incong/post-err",1.82898191938051,0.103533547508575
76,"incong/post-err",1.53125431716961,0.897139091481017
77,"incong/post-err",1.55982566390272,1.09916408356166
78,"incong/post-err",1.7871637876919,1.20148767413827
79,"incong/post-err",1.59332420703731,0.784080182523465
80,"incong/post-err",1.57867294121516,0.429501123931344
81,"incong/post-err",1.80941717490359,0.284470868406315
82,"incong/post-err",1.81356858118794,0.033586755907384
83,"incong/post-err",1.60051389779438,0.757862048093345
84,"incong/post-err",1.73235329189417,-0.3523669864805
85,"incong/post-err",1.62045249121536,0.1794172398183
86,"incong/post-err",1.74990759894401,0.15204603424232
87,"incong/post-err",1.7434443689137,0.894823259874005
88,"incong/post-err",2.0182652966573,0.865783759606511
89,"incong/post-err",1.74059278713342,0.449603868717435
90,"incong/post-err",1.59857179996674,0.623911957379339
91,"incong/post-err",1.69556122168425,0.447466514170245
92,"incong/post-err",1.46370302946728,-0.172109094138675
93,"incong/post-err",1.58694778151875,0.189603893592717
94,"incong/post-err",1.82992100738447,0.280043203906135
95,"incong/post-err",1.62193674903158,1.0418997548238
96,"incong/post-err",1.57062781641159,0.846324268842614
97,"incong/post-err",1.72349042255127,1.31242203277839
98,"incong/post-err",1.65930846419617,0.570572399016642
99,"incong/post-err",1.6667458052905,-0.992944929994922
100,"incong/post-err",1.56670948415008,0.24381770853435
